family,features,seed,step,variant,energy_un,energy_sym,energy_op,norm_f2,norm_pi2,R_un,R_sym,R_op,energy_un_relative,energy_sym_relative,energy_op_relative,norm_f2_relative,norm_pi2_relative,R_un_relative,R_sym_relative,R_op_relative,zero_state,resolution_R_op,censored_R_op
UniGCN,random,0,0,base,126904.59467703468,28926.999136872055,32003.343686227916,65215.99999999999,65224.466639136466,1.945911964503108,0.4435567826434013,0.49066470506061655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
UniGCN,random,0,0,restart,126904.59467703468,28926.999136872055,32003.343686227916,65215.99999999999,65224.466639136466,1.945911964503108,0.4435567826434013,0.49066470506061655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1e-24,False
UniGCN,random,0,1,base,20585.447211998537,5939.309274575317,6136.356513171753,21198.826751983597,19866.757060631375,0.9710654015355984,0.28017160308268335,0.3088756003027671,0.1622119929100076,0.205320615749759,0.19174110597113725,0.32505561138345807,0.30459056369976933,0.4990284346103816,0.6316476583065309,0.6295044194479176,False,1e-24,False
UniGCN,random,0,1,restart,26223.51393954962,7292.623589844572,7596.40186142053,24024.25405833987,22663.11300671908,1.091543316011774,0.3035525503574578,0.3351879267057608,0.20663959414776936,0.2521043940762236,0.23736275608881174,0.36837975432930375,0.3474633703347233,0.5609417773894522,0.6843600689598737,0.6831302990590118,False,1e-24,False
UniGCN,random,0,2,base,6607.789361989923,1918.1569870773583,2024.8258107255128,10755.239853880934,10133.135058358977,0.6143786146810627,0.17834627708327752,0.19982224642858215,0.05206895289178764,0.0663102652992568,0.06326919557461308,0.16491719599302218,0.1553578830229762,0.3157278571119456,0.40208217766485943,0.4072480542571249,False,1e-24,False
UniGCN,random,0,2,restart,11627.75321558686,3243.2878388508234,3411.7373306447594,14025.890056447937,13253.278202010097,0.8290207016303672,0.23123579507596592,0.25742591973413104,0.09162594345129002,0.11211974748935288,0.10660565233728816,0.21506823565456235,0.2031948881289551,0.42603196688913886,0.5213217430650104,0.5246473143046405,False,1e-24,False
UniGCN,random,0,3,base,3124.7080613562034,837.2701934297619,921.2690698976006,6938.942621073987,6633.952060681561,0.4503147283371788,0.1206625042390352,0.138871831070023,0.024622497469917588,0.028944246496779822,0.028786650511585538,0.1063993900434554,0.10170956394913636,0.23141577653651327,0.2720339513690678,0.2830279611264617,False,1e-24,False
UniGCN,random,0,3,restart,7566.163510310023,2019.1637787900515,2162.307898109797,10249.202592486665,9776.015336028984,0.738219724123369,0.19700691449598534,0.22118499447732312,0.05962087920902706,0.06980204788046288,0.06756506192946048,0.1571577924510345,0.14988264128116469,0.3793695385967138,0.44415263660700144,0.4507864376550133,False,1e-24,False
UniGCN,random,0,4,base,1850.7681239782962,452.68238023635007,515.1544342436306,5098.2591269916065,4928.655076649887,0.3630196264799122,0.08879155981690362,0.10452231414696445,0.014583933140391022,0.015649130353771624,0.016096894102515868,0.07817497434665738,0.07556451329710925,0.18655501024816912,0.20018081853634473,0.21302187230697955,False,1e-24,False
UniGCN,random,0,4,restart,5986.916205847749,1535.9843355425683,1664.0963010974963,8425.496715178393,8097.774205786345,0.7105713061477333,0.18230193274842985,0.20550045713899998,0.04717651256902184,0.05309864076376703,0.051997576172442606,0.12919370576512504,0.12415240205164758,0.36516107568575384,0.4110002143626152,0.41882054082861436,False,1e-24,False
