dataset,method,depth,n_trials,tune_val,test_acc,test_std,val_acc,num_seeds,params
pokec,AllSetformerII,4,30,60.73,59.65,0.76,60.73,10,"{'lr': 0.005, 'wd': 0.0, 'dropout': 0.30000000000000004, 'MLP_hidden': 256, 'restart_alpha': 0.5, 'lamda': 2.0, 'heads': 1, 'MLP_num_layers': 2, 'decoder_num_layers': 1, 'normalization': 'bn'}"
pokec,AllSetformerII,64,1,59.81,58.54,0.78,59.81,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 64, 'restart_alpha': 0.5, 'lamda': 2.0, 'heads': 8, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'ln'}"
pokec,AllSetformerII,8,30,61.29,59.24,0.77,60.85,10,"{'lr': 0.05, 'wd': 0.0, 'dropout': 0.0, 'MLP_hidden': 256, 'restart_alpha': 0.3, 'lamda': 1.5, 'heads': 4, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'bn'}"
pokec,AllSetformer,16,30,50.81,50.74,0.58,50.83,10,"{'lr': 0.005, 'wd': 0.0001, 'dropout': 0.7, 'MLP_hidden': 64, 'heads': 4, 'MLP_num_layers': 1, 'decoder_num_layers': 2, 'normalization': 'ln'}"
pokec,AllSetformer,2,30,60.70,58.89,0.62,60.70,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.1, 'MLP_hidden': 512, 'heads': 8, 'MLP_num_layers': 1, 'decoder_num_layers': 1, 'normalization': 'ln'}"
pokec,AllSetformer,32,4,50.77,50.62,0.69,50.77,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 64, 'heads': 1, 'MLP_num_layers': 2, 'decoder_num_layers': 2, 'normalization': 'ln'}"
pokec,AllSetformer,4,30,59.29,57.84,0.66,59.29,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.0, 'MLP_hidden': 64, 'heads': 8, 'MLP_num_layers': 2, 'decoder_num_layers': 1, 'normalization': 'ln'}"
pokec,AllSetformer,64,1,50.77,50.62,0.69,50.77,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 64, 'heads': 1, 'MLP_num_layers': 2, 'decoder_num_layers': 2, 'normalization': 'ln'}"
pokec,AllSetformer,8,22,59.31,57.25,0.61,59.31,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.0, 'MLP_hidden': 64, 'heads': 8, 'MLP_num_layers': 2, 'decoder_num_layers': 1, 'normalization': 'bn'}"
pokec,HGNNII,16,10,60.41,58.56,1.24,60.41,10,"{'lr': 0.01, 'wd': 1e-05, 'dropout': 0.1, 'MLP_hidden': 512, 'restart_alpha': 0.3, 'lamda': 2.0}"
pokec,HGNNII,2,30,60.52,58.80,1.07,60.52,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 128, 'restart_alpha': 0.5, 'lamda': 1.5}"
pokec,HGNNII,32,32,60.78,59.14,0.68,60.78,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 128, 'restart_alpha': 0.2, 'lamda': 0.5}"
pokec,HGNNII,4,30,60.55,58.73,0.72,60.55,10,"{'lr': 0.05, 'wd': 0.0, 'dropout': 0.1, 'MLP_hidden': 64, 'restart_alpha': 0.5, 'lamda': 0.5}"
pokec,HGNNII,64,5,60.78,59.04,0.67,60.78,10,"{'lr': 0.05, 'wd': 0.0001, 'dropout': 0.0, 'MLP_hidden': 128, 'restart_alpha': 0.25, 'lamda': 0.5}"
pokec,HGNNII,8,30,60.87,58.90,0.68,60.87,10,"{'lr': 0.05, 'wd': 0.0, 'dropout': 0.5, 'MLP_hidden': 128, 'restart_alpha': 0.45, 'lamda': 0.5}"
pokec,HGNN,16,30,58.98,57.26,0.76,58.98,10,"{'lr': 0.001, 'wd': 0.0001, 'dropout': 0.1, 'MLP_hidden': 128}"
pokec,HGNN,2,30,60.34,58.08,0.87,60.34,10,"{'lr': 0.1, 'wd': 0.0, 'dropout': 0.30000000000000004, 'MLP_hidden': 128}"
pokec,HGNN,32,19,56.70,55.53,2.01,56.70,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.1, 'MLP_hidden': 256}"
pokec,HGNN,4,30,59.88,57.89,0.83,59.88,10,"{'lr': 0.01, 'wd': 0.0, 'dropout': 0.2, 'MLP_hidden': 128}"
pokec,HGNN,64,26,52.29,51.45,1.09,52.29,10,"{'lr': 0.005, 'wd': 0.0001, 'dropout': 0.1, 'MLP_hidden': 128}"
pokec,HGNN,8,30,59.18,57.63,0.73,59.18,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.0, 'MLP_hidden': 256}"
pokec,HNHNII,16,30,61.15,59.03,0.79,60.87,10,"{'lr': 0.05, 'wd': 0.0, 'dropout': 0.5, 'MLP_hidden': 64, 'HNHN_alpha': 0.0, 'HNHN_beta': -0.5, 'restart_alpha': 0.2, 'lamda': 0.5}"
pokec,HNHNII,2,30,61.36,58.97,0.84,60.86,10,"{'lr': 0.1, 'wd': 0.0001, 'dropout': 0.2, 'MLP_hidden': 256, 'HNHN_alpha': -0.5, 'HNHN_beta': -0.5, 'restart_alpha': 0.45, 'lamda': 2.0}"
pokec,HNHNII,32,30,61.36,59.13,0.46,61.05,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.1, 'MLP_hidden': 256, 'HNHN_alpha': -0.5, 'HNHN_beta': 0.0, 'restart_alpha': 0.45, 'lamda': 2.0}"
pokec,HNHNII,4,30,61.17,59.25,0.84,60.91,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.5, 'MLP_hidden': 256, 'HNHN_alpha': -1.5, 'HNHN_beta': 0.0, 'restart_alpha': 0.35000000000000003, 'lamda': 1.5}"
pokec,HNHNII,64,30,61.29,59.29,0.68,61.00,10,"{'lr': 0.01, 'wd': 0.0001, 'dropout': 0.2, 'MLP_hidden': 128, 'HNHN_alpha': -1.0, 'HNHN_beta': -1.0, 'restart_alpha': 0.45, 'lamda': 2.0}"
