dataset,method,depth,n_trials,tune_val,test_acc,test_std,val_acc,num_seeds,params
NTU2012,HNHN,32,32,5.63,4.57,0.74,5.23,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 64, 'HNHN_alpha': -1.5, 'HNHN_beta': 0.0}"
NTU2012,HNHN,4,30,47.32,47.57,7.11,48.93,10,"{'lr': 0.005, 'wd': 1e-05, 'dropout': 0.30000000000000004, 'MLP_hidden': 128, 'HNHN_alpha': 0.0, 'HNHN_beta': -0.5}"
NTU2012,HNHN,64,32,6.10,4.49,1.06,5.79,10,"{'lr': 0.01, 'wd': 0.0, 'dropout': 0.2, 'MLP_hidden': 256, 'HNHN_alpha': 0.0, 'HNHN_beta': -0.5}"
NTU2012,HNHN,8,30,26.51,21.29,3.35,22.98,10,"{'lr': 0.005, 'wd': 1e-05, 'dropout': 0.4, 'MLP_hidden': 256, 'HNHN_alpha': -1.0, 'HNHN_beta': -0.5}"
NTU2012,HyperGCNII,16,30,89.79,89.09,1.51,90.44,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.7, 'MLP_hidden': 512, 'restart_alpha': 0.45, 'lamda': 0.5, 'HyperGCN_lazy': False}"
NTU2012,HyperGCNII,2,30,88.27,86.92,1.46,88.79,10,"{'lr': 0.005, 'wd': 0.0, 'dropout': 0.7, 'MLP_hidden': 512, 'restart_alpha': 0.1, 'lamda': 0.5, 'HyperGCN_lazy': True}"
NTU2012,HyperGCNII,32,32,89.13,89.52,1.50,89.76,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 128, 'restart_alpha': 0.35000000000000003, 'lamda': 1.0, 'HyperGCN_lazy': False}"
NTU2012,HyperGCNII,4,30,88.67,88.39,1.70,89.44,10,"{'lr': 0.05, 'wd': 0.001, 'dropout': 0.6000000000000001, 'MLP_hidden': 512, 'restart_alpha': 0.45, 'lamda': 0.5, 'HyperGCN_lazy': False}"
NTU2012,HyperGCNII,64,32,90.06,89.34,1.38,90.28,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.1, 'MLP_hidden': 256, 'restart_alpha': 0.15000000000000002, 'lamda': 1.0, 'HyperGCN_lazy': True}"
NTU2012,HyperGCNII,8,30,89.60,88.91,1.65,89.96,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 512, 'restart_alpha': 0.3, 'lamda': 0.5, 'HyperGCN_lazy': False}"
NTU2012,HyperGCN,16,30,24.98,21.31,5.84,23.62,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.1, 'MLP_hidden': 512}"
NTU2012,HyperGCN,2,30,88.67,87.40,1.56,88.93,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.1, 'MLP_hidden': 512}"
NTU2012,HyperGCN,32,32,6.49,5.21,0.82,6.14,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.30000000000000004, 'MLP_hidden': 128}"
NTU2012,HyperGCN,4,30,85.22,84.19,1.19,85.25,10,"{'lr': 0.001, 'wd': 0.001, 'dropout': 0.5, 'MLP_hidden': 512}"
NTU2012,HyperGCN,64,32,5.90,4.47,0.75,5.53,10,"{'lr': 0.01, 'wd': 0.001, 'dropout': 0.0, 'MLP_hidden': 64}"
NTU2012,HyperGCN,8,30,62.23,54.57,7.10,55.83,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.2, 'MLP_hidden': 512}"
NTU2012,UniGCNII,16,30,90.85,89.84,1.28,91.21,10,"{'lr': 0.1, 'wd': 0.0, 'dropout': 0.1, 'MLP_hidden': 512, 'restart_alpha': 0.35000000000000003, 'lamda': 0.5, 'input_drop': 0.6, 'activation': 'prelu', 'use_norm': False}"
NTU2012,UniGCNII,2,30,89.99,88.91,1.45,90.40,10,"{'lr': 0.005, 'wd': 0.0, 'dropout': 0.2, 'MLP_hidden': 512, 'restart_alpha': 0.35000000000000003, 'lamda': 0.5, 'input_drop': 0.0, 'activation': 'relu', 'use_norm': False}"
NTU2012,UniGCNII,32,32,91.05,89.98,1.28,91.29,10,"{'lr': 0.1, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 256, 'restart_alpha': 0.5, 'lamda': 1.0, 'input_drop': 0.2, 'activation': 'relu', 'use_norm': False}"
NTU2012,UniGCNII,4,30,89.40,88.05,1.97,89.56,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 512, 'restart_alpha': 0.35000000000000003, 'lamda': 0.5, 'input_drop': 0.2, 'activation': 'prelu', 'use_norm': True}"
NTU2012,UniGCNII,64,32,90.92,89.94,1.06,91.15,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.2, 'MLP_hidden': 256, 'restart_alpha': 0.4, 'lamda': 1.5, 'input_drop': 0.2, 'activation': 'relu', 'use_norm': False}"
NTU2012,UniGCNII,8,30,88.93,87.89,1.70,89.40,10,"{'lr': 0.05, 'wd': 0.0001, 'dropout': 0.2, 'MLP_hidden': 512, 'restart_alpha': 0.25, 'lamda': 0.5, 'input_drop': 0.2, 'activation': 'relu', 'use_norm': True}"
NTU2012,UniGCN,16,30,6.49,5.01,1.67,5.37,10,"{'MLP_hidden': 512, 'dropout': 0.5, 'use_norm': True}"
NTU2012,UniGCN,2,30,79.59,78.19,2.53,78.75,10,"{'MLP_hidden': 512, 'dropout': 0.1, 'use_norm': False}"
NTU2012,UniGCN,32,30,5.63,4.51,0.65,5.51,10,"{'MLP_hidden': 256, 'dropout': 0.7, 'use_norm': True}"
NTU2012,UniGCN,4,30,36.32,16.00,6.82,18.49,10,"{'MLP_hidden': 512, 'dropout': 0.1, 'use_norm': False}"
NTU2012,UniGCN,64,30,5.43,4.47,0.87,4.71,10,"{'MLP_hidden': 64, 'dropout': 0.2, 'use_norm': True}"
NTU2012,UniGCN,8,30,11.73,9.17,2.23,10.08,10,"{'MLP_hidden': 512, 'dropout': 0.5, 'use_norm': True}"
